alive_array,cells_alive,cells_dead,cells_dont_know,mitocohondria_distribution_array,mitocohondria_distribution_notsure,mitocohondria_grouped,mitocohondria_scattered,multinuclei,multinuclei_array,release_array,release_yes,remarks,task
"[[u'alive', 97, 17], [u'alive', 195, 84], [u'alive', 283, 23], [u'alive', 281, 142], [u'alive', 337, 30]]",5,0,0,"[[u'grouped', 329, 363], [u'grouped', 488, 303], [u'grouped', 475, 339], [u'grouped', 417, 238], [u'grouped', 54, 32]]",5,0,0,3,"[[u'multinuclei', 268, 117], [u'multinuclei', 208, 82], [u'multinuclei', 130, 251]]","[[u'release', 406, 101], [u'release', 497, 90], [u'release', 219, 241]]",3,,http://pybossa.socientize.eu/cellspotting/static/img/input/feb2013-33-23
"[[u'alive', 135, 102], [u'alive', 126, 17], [u'alive', 423, 358]]",3,0,0,"[[u'grouped', 90, 182], [u'grouped', 145, 160], [u'grouped', 80, 276]]",3,0,0,0,[],"[[u'release', 133, 121], [u'release', 126, 14], [u'release', 405, 369]]",3,,http://pybossa.socientize.eu/cellspotting/static/img/input/feb2013-34-34
"[[u'alive', 84, 250], [u'alive', 153, 302], [u'alive', 91, 180], [u'alive', 143, 170], [u'alive', 253, 227], [u'alive', 431, 88], [u'alive', 241, 23]]",7,0,0,"[[u'grouped', 230, 20], [u'grouped', 447, 109], [u'grouped', 345, 366], [u'grouped', 431, 359], [u'grouped', 146, 296], [u'grouped', 63, 101], [u'grouped', 84, 262]]",7,0,0,0,[],"[[u'release', 434, 95], [u'release', 373, 261], [u'release', 363, 363], [u'release', 155, 155]]",4,,http://pybossa.socientize.eu/cellspotting/static/img/input/feb2013-34-4
"[[u'alive', 458, 45], [u'alive', 281, 17], [u'alive', 156, 138], [u'alive', 101, 260]]",4,0,0,"[[u'grouped', 508, 241], [u'grouped', 467, 55], [u'grouped', 159, 135], [u'grouped', 122, 370]]",4,0,0,0,[],"[[u'release', 159, 135], [u'release', 108, 251], [u'release', 279, 140], [u'release', 477, 45]]",4,,http://pybossa.socientize.eu/cellspotting/static/img/input/feb2013-36-10
"[[u'alive', 150, 137], [u'alive', 184, 224], [u'alive', 224, 104], [u'alive', 240, 304], [u'alive', 301, 295]]",5,0,0,"[[u'grouped', 255, 19], [u'grouped', 134, 358], [u'grouped', 140, 161], [u'grouped', 426, 333], [u'grouped', 374, 193]]",5,0,0,0,[],"[[u'release', 232, 82], [u'release', 443, 52]]",2,,http://pybossa.socientize.eu/cellspotting/static/img/input/feb2013-36-40
"[[u'dead', 180, 211], [u'dead', 213, 228], [u'dead', 279, 180], [u'dead', 324, 291], [u'dead', 77, 159]]",0,5,0,"[[u'grouped', 196, 200], [u'grouped', 213, 212], [u'grouped', 275, 179], [u'grouped', 359, 166], [u'grouped', 437, 133]]",5,0,0,0,[],"[[u'release', 278, 289], [u'release', 322, 172], [u'release', 308, 344], [u'release', 313, 319], [u'release', 388, 114]]",5,,http://pybossa.socientize.eu/cellspotting/static/img/input/feb2013-49-49
"[[u'alive', 312, 301], [u'alive', 199, 234], [u'alive', 337, 100], [u'alive', 384, 57], [u'alive', 454, 204], [u'alive', 412, 235], [u'alive', 228, 84], [u'alive', 181, 126], [u'alive', 222, 177], [u'alive', 110, 170], [u'alive', 82, 218], [u'alive', 31, 179], [u'alive', 89, 354], [u'alive', 138, 364]]",14,0,0,"[[u'scattered', 84, 196], [u'scattered', 85, 336], [u'scattered', 144, 356], [u'scattered', 38, 315], [u'scattered', 204, 237], [u'scattered', 218, 189], [u'scattered', 198, 145], [u'scattered', 234, 92], [u'scattered', 241, 53], [u'scattered', 358, 98], [u'scattered', 376, 65], [u'scattered', 410, 220], [u'scattered', 455, 222], [u'scattered', 441, 41]]",14,0,0,0,[],"[[u'release', 355, 101], [u'release', 373, 71], [u'release', 241, 46], [u'release', 228, 86], [u'release', 41, 149], [u'release', 92, 239], [u'release', 105, 348]]",7,,http://pybossa.socientize.eu/cellspotting/static/img/input/feb2013-50-2
"[[u'alive', 212, 169], [u'alive', 181, 115], [u'alive', 195, 228], [u'alive', 332, 268], [u'alive', 354, 104], [u'alive', 366, 78], [u'alive', 200, 38], [u'alive', 43, 159], [u'alive', 101, 209], [u'alive', 79, 347], [u'alive', 455, 188], [u'alive', 418, 240], [u'alive', 437, 45], [u'alive', 491, 18]]",14,0,0,"[[u'scattered', 77, 349], [u'scattered', 202, 229], [u'scattered', 208, 132], [u'scattered', 224, 105], [u'scattered', 241, 38], [u'scattered', 354, 104], [u'scattered', 381, 81], [u'scattered', 466, 227], [u'scattered', 437, 240], [u'scattered', 77, 204], [u'scattered', 38, 152], [u'scattered', 122, 156], [u'scattered', 505, 24], [u'scattered', 454, 39]]",14,0,0,0,[],"[[u'release', 413, 235], [u'release', 446, 190], [u'release', 342, 123], [u'release', 357, 87], [u'release', 244, 102], [u'release', 231, 49], [u'release', 100, 94], [u'release', 22, 163], [u'release', 77, 368], [u'release', 7, 295], [u'release', 230, 232]]",11,,http://pybossa.socientize.eu/cellspotting/static/img/input/feb2013-50-7
"[[u'alive', 128, 32], [u'alive', 231, 220], [u'alive', 441, 130], [u'alive', 454, 333]]",4,0,0,"[[u'grouped', 194, 80], [u'grouped', 262, 20], [u'grouped', 412, 245], [u'grouped', 424, 289]]",4,0,0,0,[],"[[u'release', 433, 121], [u'release', 468, 336], [u'release', 239, 226], [u'release', 136, 319]]",4,,http://pybossa.socientize.eu/cellspotting/static/img/input/feb2013-33-39
"[[u'alive', 176, 73], [u'alive', 275, 122], [u'alive', 348, 22], [u'alive', 435, 143]]",4,0,0,"[[u'grouped', 424, 305], [u'grouped', 147, 99], [u'grouped', 60, 264], [u'grouped', 160, 201]]",4,0,0,0,[],"[[u'release', 171, 99], [u'release', 297, 131], [u'release', 354, 1]]",3,,http://pybossa.socientize.eu/cellspotting/static/img/input/feb2013-33-4
